			cJUN	AKT	ERK12	GSK3	Ikb	JNK12	p38	p70S6	p90RSK	STAT3	CREB	HistH3	HSP27	IRS1s	MEK1222	p53	STAT6
Type	Well	Description	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI	FI
X42	B6	1oHum_03hrs_X42_Col06rB_IL06_MEKi	22631.5	7885.0	353.0	2230.0	701.0	249.0	354.0	9396.0	256.0	2468.0	706.0	253.0	12935.0	1015.0	13769.0	214.0	164.0
X43	C6	1oHum_03hrs_X43_Col06rC_IL06_p38i	21901.0	6489.5	609.5	1810.0	725.0	225.0	226.5	8798.0	339.5	2840.0	557.0	265.0	1928.0	984.0	4634.0	209.0	169.5
X44	D6	1oHum_03hrs_X44_Col06rD_IL06_PI3K	16770.0	4183.0	535.0	1384.5	498.0	181.5	236.5	6144.0	338.0	2755.0	622.0	271.5	10748.0	829.5	4368.0	170.5	153.5
X45	E6	1oHum_03hrs_X45_Col06rE_IL06_IKKi	15705.0	5409.0	1176.0	2131.5	309.0	329.0	682.0	10014.0	400.0	2618.0	990.0	220.0	21941.0	1508.5	2319.0	249.0	150.0
X46	F6	1oHum_03hrs_X46_Col06rF_IL06_mTOR	14602.0	6006.5	594.0	2410.0	522.5	171.0	245.5	3826.0	302.5	1602.0	525.0	226.0	7216.0	725.0	2991.0	165.0	160.0
X47	G6	1oHum_03hrs_X47_Col06rG_IL06_GSK3	13721.0	3338.0	652.0	1652.0	579.5	153.5	198.5	5407.0	288.0	1440.0	606.0	196.0	6590.0	803.0	2187.0	129.0	156.0
X48	H6	1oHum_03hrs_X48_Col06rH_IL06_JNKi	7249.5	1864.0	457.5	726.0	392.5	160.0	226.0	2725.5	229.0	1096.5	515.0	144.0	7705.5	396.0	978.0	96.0	123.5
X49	A7	1oHum_03hrs_X49_Col07rA_IGFI_DMSO	18066.0	7123.0	534.0	1932.0	741.0	207.5	273.0	6797.0	360.5	62.0	662.0	288.5	6473.0	925.5	2533.0	230.0	176.0
X50	B7	1oHum_03hrs_X50_Col07rB_IGFI_MEKi	18393.0	6890.0	353.0	1530.0	586.0	236.5	233.0	6802.0	267.5	43.0	504.0	257.5	8029.5	610.5	13395.0	189.5	162.0
X51	C7	1oHum_03hrs_X51_Col07rC_IGFI_p38i	18369.0	5914.0	555.0	1620.0	534.0	274.0	146.0	5843.0	353.0	54.0	488.0	305.0	1966.0	766.0	3025.0	162.5	145.5
X52	D7	1oHum_03hrs_X52_Col07rD_IGFI_PI3K	17103.0	4610.0	556.0	1320.5	463.5	262.0	231.0	4787.0	346.5	45.0	465.0	315.0	9375.5	681.0	2888.5	162.0	154.0
X53	E7	1oHum_03hrs_X53_Col07rE_IGFI_IKKi	14769.0	4561.0	679.0	1552.5	286.0	297.0	596.0	7669.0	359.0	34.0	785.0	196.0	23044.5	1005.5	1411.0	165.0	147.0
X54	F7	1oHum_03hrs_X54_Col07rF_IGFI_mTOR	15639.5	5814.0	690.0	2476.0	489.0	196.0	191.0	3975.5	406.0	46.0	544.0	278.0	6594.0	783.0	2455.0	168.0	175.0
X55	G7	1oHum_03hrs_X55_Col07rG_IGFI_GSK3	15125.0	3308.0	800.5	1958.0	521.0	196.5	171.5	5316.5	370.5	48.5	568.0	274.5	7169.0	815.0	2054.0	142.0	166.0
X56	H7	1oHum_03hrs_X56_Col07rH_IGFI_JNKi	7635.0	2992.0	508.0	900.0	384.5	155.5	221.0	2869.5	285.0	40.0	471.0	185.0	9001.0	388.5	1102.0	109.0	153.0
X57	A8	1oHum_03hrs_X57_Col08rA_TGFa_DMSO	23714.0	5001.5	3362.0	3748.0	1145.5	306.0	495.0	14417.5	1072.0	48.0	721.5	317.5	12137.5	2988.0	20479.5	230.0	209.5
X58	B8	1oHum_03hrs_X58_Col08rB_TGFa_MEKi	23389.5	7201.0	1008.0	2896.0	1035.5	376.5	332.0	11681.0	922.0	77.0	705.0	346.0	11717.5	2201.0	24666.0	272.0	170.0
X59	C8	1oHum_03hrs_X59_Col08rC_TGFa_p38i	23068.5	6543.0	4220.0	5311.0	1204.0	373.5	221.0	14468.5	1709.0	53.0	717.0	339.0	2809.0	3389.0	23546.5	276.0	166.5
X60	D8	1oHum_03hrs_X60_Col08rD_TGFa_PI3K	22935.0	4567.0	4080.0	4148.5	885.5	258.5	491.0	11229.0	1183.0	38.0	724.0	296.0	11622.0	2808.0	22897.5	222.0	173.0
X61	E8	1oHum_03hrs_X61_Col08rE_TGFa_IKKi	20212.0	6165.5	6843.0	3880.5	327.0	373.0	806.0	13853.0	1310.0	30.0	1166.5	257.0	23117.0	2431.0	19299.0	262.0	150.5
X62	F8	1oHum_03hrs_X62_Col08rF_TGFa_mTOR	23647.5	6412.5	5596.0	5248.5	809.0	254.0	391.0	10709.0	1510.0	47.0	821.5	354.5	13295.0	2689.0	23654.5	203.0	184.0
X63	G8	1oHum_03hrs_X63_Col08rG_TGFa_GSK3	23357.0	2997.0	4518.0	3994.0	866.0	200.0	302.0	10359.0	933.0	37.0	720.5	238.0	9516.5	2097.0	19667.0	178.0	174.0
X64	H8	1oHum_03hrs_X64_Col08rH_TGFa_JNKi	9518.0	2445.0	5113.5	2031.5	526.0	174.0	295.0	6641.0	673.0	24.0	695.0	221.0	10271.0	1421.0	18825.0	112.5	128.0
X65	A9	1oHum_03hrs_X65_Col09rA_TGFb_DMSO	16306.0	7073.0	502.5	1493.5	673.0	223.0	266.0	5153.0	359.5	41.0	608.0	286.0	7435.0	654.0	2028.0	187.0	143.0
X66	B9	1oHum_03hrs_X66_Col09rB_TGFb_MEKi	16425.0	9513.0	367.5	1131.0	681.0	193.0	276.5	6267.5	278.0	50.5	622.0	274.0	9402.0	606.0	11988.5	209.0	146.0
X67	C9	1oHum_03hrs_X67_Col09rC_TGFb_p38i	18104.0	9977.0	516.5	1402.5	744.5	225.5	119.0	6233.0	442.0	57.0	658.0	285.0	2196.0	703.5	2472.5	234.0	151.5
X68	D9	1oHum_03hrs_X68_Col09rD_TGFb_PI3K	15085.0	4889.0	550.0	1209.5	514.5	226.5	261.5	4234.5	346.0	40.0	623.0	256.0	10955.0	623.0	2307.0	169.5	166.0
X69	E9	1oHum_03hrs_X69_Col09rE_TGFb_IKKi	15804.0	6433.5	871.0	2026.0	260.0	282.0	535.5	8287.0	390.5	36.0	1042.0	235.0	23149.0	1165.5	1894.0	219.0	149.0
X70	F9	1oHum_03hrs_X70_Col09rF_TGFb_mTOR	13484.0	7933.0	638.0	2411.0	615.0	211.0	214.0	4408.0	438.0	53.0	710.0	251.5	8552.0	809.0	2379.0	172.5	180.0
X71	G9	1oHum_03hrs_X71_Col09rG_TGFb_GSK3	12986.0	3973.0	606.0	1358.0	515.0	151.0	229.0	3762.0	303.5	38.0	613.0	190.0	7127.0	464.0	1810.0	107.5	146.0
X72	H9	1oHum_03hrs_X72_Col09rH_TGFb_JNKi	6088.0	2540.5	456.0	730.0	407.5	139.5	184.0	2343.0	227.0	33.5	476.5	170.5	8605.0	325.0	892.0	107.0	121.0
X73	A10	1oHum_03hrs_X73_Col10rA_HGF__DMSO	22279.0	6114.5	1410.0	2088.0	781.0	228.0	316.5	8664.0	585.5	42.0	731.0	281.0	8653.0	1277.0	6810.0	170.0	179.5
X74	B10	1oHum_03hrs_X74_Col10rB_HGF__MEKi	19352.0	7321.0	450.0	1002.0	668.5	205.0	299.0	6823.0	357.5	59.0	621.0	276.0	8805.5	796.0	14353.0	215.0	204.5
X75	C10	1oHum_03hrs_X75_Col10rC_HGF__p38i	19866.0	6669.0	1377.0	1997.0	655.5	270.0	143.5	8649.0	563.0	54.0	607.0	281.5	1768.0	1210.5	6673.0	186.0	159.0
X76	D10	1oHum_03hrs_X76_Col10rD_HGF__PI3K	17198.0	3616.5	1219.0	1538.0	505.0	181.0	172.0	4985.0	501.0	48.0	621.0	293.0	5414.5	914.5	4772.5	172.0	167.0
X77	E10	1oHum_03hrs_X77_Col10rE_HGF__IKKi	14001.0	6479.0	2502.0	3041.5	326.0	321.5	582.0	12020.0	779.0	41.5	1182.5	221.0	22966.0	2002.0	5432.0	242.5	180.0
X78	F10	1oHum_03hrs_X78_Col10rF_HGF__mTOR	18318.0	8100.5	1914.0	3586.0	513.5	219.0	214.5	6530.0	663.5	45.5	777.5	257.0	8117.5	1504.0	6828.0	218.5	159.0
X79	G10	1oHum_03hrs_X79_Col10rG_HGF__GSK3	17346.0	3681.0	2079.5	2057.5	537.0	151.5	222.5	7511.5	466.0	40.0	646.0	174.5	6327.0	1178.0	8111.5	127.0	131.5
X80	H10	1oHum_03hrs_X80_Col10rH_HGF__JNKi	7253.5	3229.0	1049.0	714.5	358.0	153.0	209.0	3145.0	363.5	32.0	509.0	136.0	8535.0	401.0	2295.0	95.0	125.0
X81	A11	1oHum_03hrs_X81_Col11rA_LPS__DMSO	21667.0	3388.0	582.0	1861.0	1879.0	224.0	359.5	7184.0	366.0	159.5	836.5	246.5	17170.0	1106.0	3313.0	179.0	148.0
X82	B11	1oHum_03hrs_X82_Col11rB_LPS__MEKi	23188.0	5627.0	398.0	1456.0	2151.0	242.0	317.0	8699.0	267.0	224.0	809.0	237.0	19204.0	1058.0	13516.0	208.0	159.0
X83	C11	1oHum_03hrs_X83_Col11rC_LPS__p38i	21652.0	4415.5	780.0	1775.0	2179.0	285.0	218.0	9250.0	526.0	238.5	659.0	312.5	3964.0	1367.0	4210.0	174.0	142.0
X84	D11	1oHum_03hrs_X84_Col11rD_LPS__PI3K	22084.5	4158.0	567.0	1358.0	1639.5	233.0	373.0	5950.0	426.0	183.5	749.5	299.0	20942.0	969.0	3537.5	172.0	191.0
X85	E11	1oHum_03hrs_X85_Col11rE_LPS__IKKi	18222.5	4616.0	1071.0	2142.0	1380.5	431.0	880.5	7409.0	378.0	29.0	557.5	179.5	23584.0	1720.0	2237.5	211.0	154.0
X86	F11	1oHum_03hrs_X86_Col11rF_LPS__mTOR	21367.0	8155.0	683.5	2910.0	1934.0	233.0	390.5	5556.0	468.0	167.0	792.0	228.0	20880.0	1167.5	4072.0	177.0	180.5
X87	G11	1oHum_03hrs_X87_Col11rG_LPS__GSK3	19871.0	3094.0	576.0	1506.0	1511.5	130.0	319.0	6286.5	326.0	128.0	692.0	153.5	18334.0	821.0	2712.5	120.0	127.0
X88	H11	1oHum_03hrs_X88_Col11rH_LPS__JNKi	13989.0	3368.0	726.0	856.0	2130.0	112.0	305.0	4438.0	336.5	36.0	617.0	189.5	18054.0	539.0	1824.0	124.5	137.0
X89	A12	1oHum_03hrs_X89_Col12rA_DMSO_DMSO	15959.0	4305.0	484.0	993.0	559.0	148.0	176.0	4791.5	263.5	40.0	581.0	194.0	5778.0	480.0	1861.0	120.0	128.0
X90	B12	1oHum_03hrs_X90_Col12rB_DMSO_MEKi	15083.0	2472.0	340.0	1424.0	383.0	142.0	145.0	4111.5	219.0	30.0	393.0	188.0	8046.0	449.5	12267.0	91.0	117.0
X91	C12	1oHum_03hrs_X91_Col12rC_DMSO_p38i	14121.0	5284.5	538.5	1624.0	472.0	143.5	97.0	4424.0	366.5	31.5	316.0	201.0	1209.5	416.5	2399.0	125.0	135.0
X92	D12	1oHum_03hrs_X92_Col12rD_DMSO_PI3K	9531.0	879.0	498.0	489.0	352.0	178.0	92.0	2535.0	213.0	28.0	305.0	186.0	2866.0	418.5	1123.5	70.5	139.0
X93	E12	1oHum_03hrs_X93_Col12rE_DMSO_IKKi	13081.0	2346.0	623.0	1079.0	300.0	238.0	372.0	5160.5	247.0	30.0	687.0	175.0	17546.5	871.0	1369.5	121.0	127.5
X94	F12	1oHum_03hrs_X94_Col12rF_DMSO_mTOR	12403.5	2374.0	588.0	1495.0	387.0	130.5	158.5	3165.0	244.5	39.0	514.0	173.0	5066.0	542.0	1840.0	107.5	148.0
X95	G12	1oHum_03hrs_X95_Col12rG_DMSO_GSK3	16417.5	3008.0	571.5	1427.0	528.0	121.0	163.5	4379.0	263.0	31.0	592.0	168.0	5395.5	635.0	2036.5	125.5	165.0
X96	H12	1oHum_03hrs_X96_Col12rH_BLNK_BLNK	29.0	84.0	206.5	38.0	213.0	70.0	15.0	1983.0	125.0	11.0	16.5	40.0	47.0	33.0	37.0	23.0	132.5
